what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.mylyn.resources.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.resources.ui,1228783384078
stopped,bundle,org.eclipse.mylyn.context.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.context.ui,1228783384078
stopped,bundle,org.eclipse.mylyn.help.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.help.ui,1228783384078
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.tasks.bugs,1228783384078
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.tasks.ui,1228783384078
stopped,bundle,org.eclipse.rse.importexport,1.1.0.v20080604,org.eclipse.rse.importexport,1228783384078
stopped,bundle,org.eclipse.rse.subsystems.shells.telnet,1.1.0.v20080604,org.eclipse.rse.subsystems.shells.telnet,1228783384078
stopped,bundle,org.eclipse.rse.shells.ui,3.0.1.v20080710,org.eclipse.rse.shells.ui,1228783384078
stopped,bundle,org.eclipse.rse.files.ui,3.0.1.v200809171600,org.eclipse.rse.files.ui,1228783384078
stopped,bundle,org.eclipse.rse.processes.ui,3.0.1.v20080714,org.eclipse.rse.processes.ui,1228783384078
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.301.v200808072012,org.eclipse.wst.dtd.ui,1228783384078
stopped,bundle,org.eclipse.wst.wsdl.ui,1.2.102.v200809101946,org.eclipse.wst.wsdl.ui,1228783384078
stopped,bundle,org.eclipse.wst.wsi.ui,1.0.400.v200805140300,org.eclipse.wst.wsi.ui,1228783384078
stopped,bundle,org.eclipse.php.server.ui,2.0.0.v20081126-1847,org.eclipse.php.server.ui,1228783384078
stopped,bundle,org.eclipse.php.debug.ui,2.0.0.v20081126-1847,org.eclipse.php.debug.ui,1228783384078
stopped,bundle,org.eclipse.php.debug.core,2.0.0.v20081204-0930,org.eclipse.php.debug.core,1228783384078
stopped,bundle,org.eclipse.php.ui,2.0.0.v20081204-0930,org.eclipse.php.ui,1228783384078
stopped,bundle,org.eclipse.wst.jsdt.web.ui,1.0.1.v200807241900,org.eclipse.wst.jsdt.web.ui,1228783384078
stopped,bundle,org.eclipse.wst.web.ui,1.1.200.v200805281530,org.eclipse.wst.web.ui,1228783384078
stopped,bundle,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.ui,1228783384078
stopped,bundle,org.eclipse.wst.css.ui,1.0.301.v200807170605,org.eclipse.wst.css.ui,1228783384078
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.103.v200809101755,org.eclipse.wst.xsd.ui,1228783384078
stopped,bundle,org.eclipse.wst.xml.ui,1.0.410.v200809120143,org.eclipse.wst.xml.ui,1228783384078
stopped,bundle,org.eclipse.wst.common.ui,1.1.301.v200805140415,org.eclipse.wst.common.ui,1228783384078
stopped,bundle,org.eclipse.wst.jsdt.ui,1.0.12.v200809172136,org.eclipse.wst.jsdt.ui,1228783384218
